user_id,condition,uris
50D6P5Z9M0,base,45XhKYRRkyeqoW3teSOkCM;2D7d85KIN7zckN4g177TGE;6hPSal3ragmfUt1I5mKZjn;7dZAPeA3Of5j5Vaef0DQ6M;0OvwzS8FX73Bw7ykMRmffU;04Wi1rcNpKRdIjSt7rtMM5;2yJVeT8cP1zstJxRP7Nlv8;1RUTIdTnFs8lHSc0Zr4UJB;5VWmMZCfJ4yVkJw9ZLFXej;05Zpkdw805jxCRaYU9haLj;6nBQFAIVFmAx2oZ8p6lUg6;1ms5tNNdPouTtcD2oVF9Oz;21ugcKQyclYBZvzmCXsZ9x;2asIUjALYhUbH8hvLUhDWo;5UmLoBLWWRnqGhPfVWRgGd;35Dofxo9smHVxmFQbhYIAT;7s1upm7yr7ZjrzXMwHawtG;29r4I5RTxDR440DkqhbD9s;48otelBlQznqDX6Uuio485;3uYm4MtU6jUQft2DtGqEoZ;76gUmNLXGQVOsGhfcshkFP;7MzUlP36y4P2Faa1bXCqCm;6Rb0ptOEjBjPPQUlQtQGbL;0HEfiw4FFDxMTfCIf6k3J5;4356Typ82hUiFAynbLYbPn
50D6P5Z9M0,fair,2cR9d1gAnOB2Uca5rUc21Y;45XhKYRRkyeqoW3teSOkCM;4qX18Am6dJZg0ovgddL7w6;4GIsskMpViPkt0uzPJTJSp;4FU9xUJc2VtOkNaeD8U1LA;1Tgg5Rnuy6N10Pr6ICFoHN;6KFYhoNEXNGQ3w3xuhu5G2;2e58TfTLg04LEG1oyVipCp;7FCM7Q8qGnQP5eJNZdBBzu;4GDhJN2w2fLMovXBvjWywV;5yS7xFMztDzRM81gZXoaiB;2D7d85KIN7zckN4g177TGE;57nOpVSc3j9o03Cr928ZM4;4Bj3usjRTckEJARO0dLbDf;4RYKr1R3tXrITqY1zWiTNi;25xLTYoRZOv8OTsQdesMZ2;3oq4ObferqWNZB11Awi8ON;00xBJ1IJSkErFWuuHxLPoP;2xpkH8AX4Juaj2TuItXvq4;46aXcs2gSheBtZibRfwRzh;4j5WelE5mkf9A2jmts729h;2Bli1Wbi5mRa1BcVJaZ1m4;3jCMdvc8bFOKChETbFV9Zc;56urRCfhQX5H3tfGt6q3uU;1Xyb0PdlA9rCmplbAHbQDC
50D6P5Z9M0,cp,6hPSal3ragmfUt1I5mKZjn;7dZAPeA3Of5j5Vaef0DQ6M;0OvwzS8FX73Bw7ykMRmffU;04Wi1rcNpKRdIjSt7rtMM5;2yJVeT8cP1zstJxRP7Nlv8;1RUTIdTnFs8lHSc0Zr4UJB;2cR9d1gAnOB2Uca5rUc21Y;4qX18Am6dJZg0ovgddL7w6;4GIsskMpViPkt0uzPJTJSp;2D7d85KIN7zckN4g177TGE;4FU9xUJc2VtOkNaeD8U1LA;1Tgg5Rnuy6N10Pr6ICFoHN;6KFYhoNEXNGQ3w3xuhu5G2;45XhKYRRkyeqoW3teSOkCM;3uYm4MtU6jUQft2DtGqEoZ;2e58TfTLg04LEG1oyVipCp;5VWmMZCfJ4yVkJw9ZLFXej;7FCM7Q8qGnQP5eJNZdBBzu;6Rb0ptOEjBjPPQUlQtQGbL;05Zpkdw805jxCRaYU9haLj;6nBQFAIVFmAx2oZ8p6lUg6;4GDhJN2w2fLMovXBvjWywV;1ms5tNNdPouTtcD2oVF9Oz;3ph6xHCshx5N8gLncLxm3O;5yS7xFMztDzRM81gZXoaiB
