user_id,condition,uris
BQRVR7N6N0,base,5hlQ9yTpC4VkUbtwdKmN4m;7cDxjUnMitNKQC5c8RQUko;550JPXXPgjr1xqxtKIaX6b;2J6QnTjHIWwXErNWyF0RUC;0qeKzbUsW0V4ZWRJrHNiD3;3nsxMrnYlfBNotHRevTRgM;5uBKhKWTJ4E47rcLQqu3YH;6HkmOvGpoYrJ1BdppBNp2t;1CYyIsAaTrnmJ8MO2rec5f;6pNPthJtweLWioQeGtwJe5;1udKn1oNKYQSQ9OmiIWCMu;1akgiRM3mN2nxu2AX6ACCW;5N0lcnJTtKj4wNDvurHige;1xMPwgmLHVXkIFYL0rvGiZ;3cqZlRpC4lOnxUE7HE3N5k;1dlgaGdQXmsYKMRuewIZkF;1cRuI7DN1z2FO3boRPmagR;3DmHaJ9zYKj5Snos05lkVF;4vju55Ag7apDL2CfotuE7Q;2RzJwBCXsS1VnjDm2jKKAa;2FWmKZ3kNbVsKGhuNHsltW;3KzGNr0btMPcLjsmefnisj;5TvcggVu3s2P1fMAS8BupX;0ZqveF2rEFlz2oqF2xrriP;1I6H9DDpmtwI5RF8qYgW17
BQRVR7N6N0,fair,4bkV0QgJiA6bg4QzL1A75u;5hlQ9yTpC4VkUbtwdKmN4m;6wN9XeoEY9SLUO2KT51Yit;3oq4ObferqWNZB11Awi8ON;0FKG3V4qGUpfQsJW72hqGe;6DVHaplIW44aHvIW0obrrS;7Dm8mNOZl8QWRODYr2caBd;6HQC66NOPyXDy4TEoO6WDE;0AuQnOc0CnL562268H1iSm;66GjoiZndlItYntsc3uXIw;4qX18Am6dJZg0ovgddL7w6;7cDxjUnMitNKQC5c8RQUko;1Dd2e9n4g7F6tM6X8wFhCd;550JPXXPgjr1xqxtKIaX6b;2J6QnTjHIWwXErNWyF0RUC;0qeKzbUsW0V4ZWRJrHNiD3;3nsxMrnYlfBNotHRevTRgM;5uBKhKWTJ4E47rcLQqu3YH;6HkmOvGpoYrJ1BdppBNp2t;1CYyIsAaTrnmJ8MO2rec5f;6pNPthJtweLWioQeGtwJe5;1udKn1oNKYQSQ9OmiIWCMu;1akgiRM3mN2nxu2AX6ACCW;5N0lcnJTtKj4wNDvurHige;1xMPwgmLHVXkIFYL0rvGiZ
BQRVR7N6N0,cp,7cDxjUnMitNKQC5c8RQUko;550JPXXPgjr1xqxtKIaX6b;2J6QnTjHIWwXErNWyF0RUC;0qeKzbUsW0V4ZWRJrHNiD3;3nsxMrnYlfBNotHRevTRgM;5uBKhKWTJ4E47rcLQqu3YH;1CYyIsAaTrnmJ8MO2rec5f;6HkmOvGpoYrJ1BdppBNp2t;4bkV0QgJiA6bg4QzL1A75u;2RzJwBCXsS1VnjDm2jKKAa;7bHT9osSq1rwT2yaImzqCi;6wN9XeoEY9SLUO2KT51Yit;30oTS7bm0aH3p7lqjEIu8q;5hlQ9yTpC4VkUbtwdKmN4m;0rRboI6IRuGx56Dq3UdYY4;6pNPthJtweLWioQeGtwJe5;3oq4ObferqWNZB11Awi8ON;1udKn1oNKYQSQ9OmiIWCMu;2wGSgTmgSF3xjRrHkTc25R;1akgiRM3mN2nxu2AX6ACCW;5N0lcnJTtKj4wNDvurHige;7Dprt8s1FohodJYtCNcM4a;1xMPwgmLHVXkIFYL0rvGiZ;3cqZlRpC4lOnxUE7HE3N5k;5D2mYZuzcgjpchVY1pmTPh
