user_id,condition,uris
GALWQ910RA,base,5hlQ9yTpC4VkUbtwdKmN4m;0z0JSkE5Nw3i3nin3BBSuG;71LunzTNm6PlZagEfouM4F;0q2vG0UVuy6ajjcpkQHdZM;1Fxp4LBWsNC58NwnGAXJld;2KklXplRtxMsBYo474Es0w;74tjxbbaErZPocRtItsuWN;0ZqveF2rEFlz2oqF2xrriP;4nVyHATevhl5RC6Qmoko5H;7LoFMtL7hxP9tr5HYyyUrJ;6Hj9jySrnFppAI0sEMCZpJ;1akgiRM3mN2nxu2AX6ACCW;1cRuI7DN1z2FO3boRPmagR;3aQz0z86zrKjd1mcZlonxE;1rCcsYnmqbMYdkG7kS9GC5;6JrAEmBFd61eYIGVOSPnT4;2d8D7uk3tbAThjRkdfrx9c;62nhuooamoroYpJyqE0nLd;0PG9fbaaHFHfre2gUVo7AN;7CuXB3Dr61IvDFEWfqG3sE;5lgS45xqkTk2HVm7Jph9ya;4HyJ1VGNu3IszMV0sTsqKP;13plQdOoWSSXPRUSZc5FuM;0ikhyMXGBKSx8Yb18h7prS;1mz9ZrRYu3EPVg9ZHFtjjf
GALWQ910RA,fair,6Et6OSJYZXrO44e0oXcOsf;5hlQ9yTpC4VkUbtwdKmN4m;467B9OypezTxMn7xNhm9Ea;5b1k8soHjvcK3yfS1KGLEC;4zQNklZnry15iiuglkLGdj;0Erdl58xd4qWO6KD96gZ3o;6FrtEtfgYdzaYHpsdeFmhZ;7txV7LsVsYFUZWKupu7XF5;2cY1XfMsEkNemJ8ECmn0Cs;2b6X2Miiq58bSMri9RCKOy;0FKG3V4qGUpfQsJW72hqGe;0z0JSkE5Nw3i3nin3BBSuG;0Ti3W12GiWlAsCWuehTuVp;6p8uFTidsF68EHK5p753gU;1pRjlrQMZYo1K5i1RcLGs7;0egNFEKqrGIu3tMmaNPNrT;6DKtrb6gmeyTYXPALvAPFY;1YItRRQXVa3GtFSZ0RmgXA;13Rd5u37Sm2YCBdnDKVSXI;32zzoqnyIg1ugqZ4mLHdAQ;1mIpyWeBDFgNLXLdZIKe90;6INAyuyRVbQtj9Dp8luz97;6zrkWFn28ep82mbAXsQn1k;43hmlDW4H4NHdvy6Cf60XD;4fKNRxl9ecozPP5gfBwvk1
GALWQ910RA,cp,0z0JSkE5Nw3i3nin3BBSuG;6Et6OSJYZXrO44e0oXcOsf;467B9OypezTxMn7xNhm9Ea;5hlQ9yTpC4VkUbtwdKmN4m;4nVyHATevhl5RC6Qmoko5H;71LunzTNm6PlZagEfouM4F;5b1k8soHjvcK3yfS1KGLEC;0q2vG0UVuy6ajjcpkQHdZM;4zQNklZnry15iiuglkLGdj;1Fxp4LBWsNC58NwnGAXJld;0Erdl58xd4qWO6KD96gZ3o;2KklXplRtxMsBYo474Es0w;6FrtEtfgYdzaYHpsdeFmhZ;74tjxbbaErZPocRtItsuWN;0ZqveF2rEFlz2oqF2xrriP;7txV7LsVsYFUZWKupu7XF5;7LoFMtL7hxP9tr5HYyyUrJ;2cY1XfMsEkNemJ8ECmn0Cs;13plQdOoWSSXPRUSZc5FuM;6Hj9jySrnFppAI0sEMCZpJ;1akgiRM3mN2nxu2AX6ACCW;2b6X2Miiq58bSMri9RCKOy;1cRuI7DN1z2FO3boRPmagR;0FKG3V4qGUpfQsJW72hqGe;3aQz0z86zrKjd1mcZlonxE
