user_id,condition,uris
TXY6NZALCS,base,1Fxp4LBWsNC58NwnGAXJld;5hlQ9yTpC4VkUbtwdKmN4m;0LWkaEyQRkF0XAms8Bg1fC;4dK00wCxlqWEeN8BoM1BHT;5pYlc1vQ6999WU43WzF4SR;61HQWI1Woxup7CnGwVUsdI;4Q4K8fikwOmZYmz82Wco4w;7p7udRRU9gjIarwcMQr5JC;62nhuooamoroYpJyqE0nLd;0iSaO7CfL9NgXdM8Meu2ul;0VKBuosaLVgYHK4fR6D5Ux;3sl4dcqSwxHVnLfqwF2jly;5PX4uS1LqlWEPL69phPVQQ;4XHQyvbrBsQaaBUW1VvmsL;1FCQEg7wOK9IIBuxx63krr;2lEXaTrSES6eZyypyvo9yR;0CAfXk7DXMnon4gLudAp7J;35Dofxo9smHVxmFQbhYIAT;2U5cq89GCnsR1yixKkC8d5;10Igtw8bSDyyFs7KIsKngZ;0zqy3ss4CwD6u4QPksS0nI;2nBI3iWLhupR7LyAJ5GGkE;3Y6XWs8xMlCngyIxNOFnsp;0srwKuJPH8yBzzFUJMBQM2;2DQ1ITjI0YoLFzuADN1ZBW
TXY6NZALCS,fair,6zrkWFn28ep82mbAXsQn1k;1Fxp4LBWsNC58NwnGAXJld;1Woy8A8P76F5F5e3NILRxi;4j5WelE5mkf9A2jmts729h;4qX18Am6dJZg0ovgddL7w6;2E0GSHbbJPl8HtIlGEVpvE;7l0DPehrQ3M9DOgzy7dRGH;7BponDjgX1siFT4iU3Nc0S;0coW4HpljNa7GL4ExM3A6c;6Et6OSJYZXrO44e0oXcOsf;3H25ywsvlV0ZT2XSpSU7wk;5hlQ9yTpC4VkUbtwdKmN4m;1MYpIY0odfvyvfhkONIZvg;6FrtEtfgYdzaYHpsdeFmhZ;1aPqexHVW20OTamBHdWWVL;1zqks8BVVv9Qlbs6l0CHwq;0Ti3W12GiWlAsCWuehTuVp;2e58TfTLg04LEG1oyVipCp;10KQrsptNFQ0rwr7rHYjeu;6p8uFTidsF68EHK5p753gU;5wRqbS5LWr06yeCy5laI5p;6eggYJok7wmf7ktU8wHp96;1agXGm6VaKxT5DckyuhCJc;1jXRj9S7Hgtoerr8PtxOls;3VjJ2dFNC12hE8jK3yz5MA
TXY6NZALCS,cp,5hlQ9yTpC4VkUbtwdKmN4m;0LWkaEyQRkF0XAms8Bg1fC;4dK00wCxlqWEeN8BoM1BHT;5pYlc1vQ6999WU43WzF4SR;6zrkWFn28ep82mbAXsQn1k;4Q4K8fikwOmZYmz82Wco4w;1Woy8A8P76F5F5e3NILRxi;4j5WelE5mkf9A2jmts729h;1Fxp4LBWsNC58NwnGAXJld;4qX18Am6dJZg0ovgddL7w6;61HQWI1Woxup7CnGwVUsdI;0srwKuJPH8yBzzFUJMBQM2;7p7udRRU9gjIarwcMQr5JC;2E0GSHbbJPl8HtIlGEVpvE;62nhuooamoroYpJyqE0nLd;0iSaO7CfL9NgXdM8Meu2ul;7l0DPehrQ3M9DOgzy7dRGH;4UMTp91LHhvW33ol9ZQH0Q;0VKBuosaLVgYHK4fR6D5Ux;3sl4dcqSwxHVnLfqwF2jly;5PX4uS1LqlWEPL69phPVQQ;7BponDjgX1siFT4iU3Nc0S;4XHQyvbrBsQaaBUW1VvmsL;3JA9Jsuxr4xgHXEawAdCp4;1FCQEg7wOK9IIBuxx63krr
