user_id,condition,uris
VIUZHWXV9T,base,0iOZD91DEQm3nuTEk5Bt8k;5EYi2rH4LYs6M21ZLOyQTx;543bCW2ruMPmxUBWirQ3MR;5iUQMwxUPdJBFeGkePtM66;0U3u0HdRQjD8mAMYBak4Ok;39KG4kom3enSx4GTThuDGt;47Bg6IrMed1GPbxRgwH2aC;1FjHxl8B28sXj7eVfxdST4;7tGEAA1f8MydT7eVbbO9Zy;53jbdPQBaH6WaQvW0zmGBs;2VEsmoek0sol9MnJFyoG9e;48WTGGIeSFD5ZMF51Rm4Y9;4pWlOwck0KXRHgXAtAa12b;7GbAp0HKPQW7WnFJAzMoRk;6DwiGVCgXGREeCyJZtX7S1;3FPUFltTjg6ClUL2wr9ux6;7ArrTJ1LwcGAlEO65LUQ7i;0P6AWOA4LG1XOctzaVu5tt;7rdUtXasA973gmrr2Xxh3E;0CnRxBOItBbzq9vDgyRpXj;33SNO8AaciGbNaQFkxvPrW;7FVGIPgLMDChTffvG2LuHV;1RMJOxR6GRPsBHL8qeC2ux;1wnVYFmT4wXCFjCzp1CrAN;1MD2yGSeBRALkMui1fZ05P
VIUZHWXV9T,fair,782CIMTujSmNFrRuAVhsqd;0iOZD91DEQm3nuTEk5Bt8k;0qnSjipvB268SHMbNSxZ7y;69oPVTn6mFjMoB3axEejog;1JqcZQCnxjDOfZZwQidb1H;0T9un1tCka7l3lwsJmmLLU;4Vha0YyxRZSfLzzoph7rNx;72rMovcXnFRHQHDXBFnzvb;0dYDmow4l5hbPs5E6QLMSC;3UY4s7F4Ard3T6vm7xcJxQ;3a1Zmq0P1E6W80x8EOcVNP;5EYi2rH4LYs6M21ZLOyQTx;70aGNEZzj831Htgfcpqrpq;1DwrEQNprxILdeMfio97XY;4wFHz9UQtuXUgbhy7cn8qk;5d1ix6uxnaiPzQpWjoOtrN;2yTjzLPyPgLSfBGHgwCRr6;4HGmqytdlTDcbE7Zx2VxAs;2i4WKnGYntsN4jEvDjkKBE;0a4rkBrO9C3BOPWullYPIM;4J2zCmydGtDFWmmAiNzImh;1FlAMUpKrjY4NdaqsXjl1w;4DgR4zgbO0vW5rYwyYUM6V;3qmm9AdG0TnShv0drgXNIQ;0b7Jv9sLr3NwuugoUkY13S
VIUZHWXV9T,cp,5EYi2rH4LYs6M21ZLOyQTx;543bCW2ruMPmxUBWirQ3MR;5iUQMwxUPdJBFeGkePtM66;0U3u0HdRQjD8mAMYBak4Ok;39KG4kom3enSx4GTThuDGt;47Bg6IrMed1GPbxRgwH2aC;782CIMTujSmNFrRuAVhsqd;3FPUFltTjg6ClUL2wr9ux6;0qnSjipvB268SHMbNSxZ7y;69oPVTn6mFjMoB3axEejog;1JqcZQCnxjDOfZZwQidb1H;0iOZD91DEQm3nuTEk5Bt8k;0CnRxBOItBbzq9vDgyRpXj;1FjHxl8B28sXj7eVfxdST4;0T9un1tCka7l3lwsJmmLLU;7tGEAA1f8MydT7eVbbO9Zy;53jbdPQBaH6WaQvW0zmGBs;2VEsmoek0sol9MnJFyoG9e;4Vha0YyxRZSfLzzoph7rNx;48WTGGIeSFD5ZMF51Rm4Y9;4pWlOwck0KXRHgXAtAa12b;31er9IGsfFbwqy1pH4aiTP;72rMovcXnFRHQHDXBFnzvb;7GbAp0HKPQW7WnFJAzMoRk;6DwiGVCgXGREeCyJZtX7S1
