user_id,condition,uris
4JUIIVYHRN,base,3nyvjKrxPNMnX4GtXIbLJk;4XHQyvbrBsQaaBUW1VvmsL;1Taq7PrHRF7dLCcHTRh2aj;3ezkJgagRPZ39KCTrKcSI7;2nBI3iWLhupR7LyAJ5GGkE;7rfiXyFb5M9BqdkvKvVEiB;5b59RfPJUVfpO565rhnrkx;5Rbj8akony3l0NNM5TjH1F;0Z26mbSHJ1dkUu7g9DDgif;6RUpJeXT6U4SPEafnr9Wr7;1nDyFTUGeSas1NCUbV3uUO;1YjoltHfLwCcatHe6xydrm;6hPSal3ragmfUt1I5mKZjn;66TRwr5uJwPt15mfFkzhbi;422lAAWQO9TqL1LxIPdhOn;543bCW2ruMPmxUBWirQ3MR;6ddQ5KCkvCggk3j6KdA0zL;7vYutw14Ch1Ee1ZmU7gLQ7;5zxJ3BZyd6BK2gX4b2RnB4;6GvP2BBCrbhi0DJzLhWRsA;7LoGfKBAaOl0nxhodJ1240;1BKT2I9x4RGKaKqW4up34s;2cvOfKHOHgwQlLiuLKP2xR;6yocQ10dbs29BUOhoyXpwW;0gBhyQ07eMpB40xeEqqwZa
4JUIIVYHRN,fair,2cY1XfMsEkNemJ8ECmn0Cs;3nyvjKrxPNMnX4GtXIbLJk;4IO8X9W69dIQe0EC5ALXhq;7L87B1YWTT11I0mSAEYEOF;756ZV0boQJ6Kbk3WFBuVjD;56urRCfhQX5H3tfGt6q3uU;0b7Jv9sLr3NwuugoUkY13S;4kfEy7h6bWBS5OaDpccTap;4Yt4jOTZExnjcrMrN0rGi0;57IRaiAB4hBZu3gnNVZC0v;672iSaub8854HyGX1DEwYF;4XHQyvbrBsQaaBUW1VvmsL;5d1ix6uxnaiPzQpWjoOtrN;6pyOi9gmnaXyFaML1oGzIJ;6DddRnq5NnVFjbyopAcRnq;5wajqzjz6JyXCHVQYtQC2k;5f14ylFBAuwqVHXvafqtmd;3V0assD4Gg4BrXFzDrcWVj;4oXT61OL4mDPRXbjq2d7b1;4EnEGf9JzAJhF1XNY9DJcD;782CIMTujSmNFrRuAVhsqd;6xW2g0c5uSoa3S6xk9eI4j;252gJUec2oDsGBPcxZs4nX;11byn9E2NCI65biHtKOLG2;3BE95i1ufWMoMJwpwDtkTo
4JUIIVYHRN,cp,1Taq7PrHRF7dLCcHTRh2aj;2cY1XfMsEkNemJ8ECmn0Cs;4XHQyvbrBsQaaBUW1VvmsL;4IO8X9W69dIQe0EC5ALXhq;3nyvjKrxPNMnX4GtXIbLJk;3ezkJgagRPZ39KCTrKcSI7;7L87B1YWTT11I0mSAEYEOF;2nBI3iWLhupR7LyAJ5GGkE;756ZV0boQJ6Kbk3WFBuVjD;7rfiXyFb5M9BqdkvKvVEiB;56urRCfhQX5H3tfGt6q3uU;5b59RfPJUVfpO565rhnrkx;5Rbj8akony3l0NNM5TjH1F;0b7Jv9sLr3NwuugoUkY13S;0Z26mbSHJ1dkUu7g9DDgif;4kfEy7h6bWBS5OaDpccTap;6RUpJeXT6U4SPEafnr9Wr7;4Yt4jOTZExnjcrMrN0rGi0;1nDyFTUGeSas1NCUbV3uUO;5zxJ3BZyd6BK2gX4b2RnB4;1YjoltHfLwCcatHe6xydrm;57IRaiAB4hBZu3gnNVZC0v;6hPSal3ragmfUt1I5mKZjn;66TRwr5uJwPt15mfFkzhbi;672iSaub8854HyGX1DEwYF
