user_id,condition,uris
OEVQITG1UM,base,6hPSal3ragmfUt1I5mKZjn;55393H9JXqdX1gTo0N3G7H;6pNPthJtweLWioQeGtwJe5;3NGT0Td7H4Is1qrlDQJxma;5hlQ9yTpC4VkUbtwdKmN4m;0zkE78jc1kjLXrTYd9ZxpO;1RPhSs2lDYKjDsELKtPvQd;4dbZObCjUs95HtmEHfKbnU;2E2ZVy2fxslpAUgbb4zu84;6dK1HEHZcQlh24bSU7pTaZ;34MRi5GRWHFUa731JBxFEl;2TgPHDU8zPgAvkSLXkHKXR;0q2vG0UVuy6ajjcpkQHdZM;3guazByz82uD2zHf8q7As1;5jaVyz2GDdesyu01cBbOSc;1k91Bhe2OYn0osSD6mMay2;5j3QqRGflS4o5jbsFSwKW1;4anqYZt4APNlFwQixpbdZR;6erBowZaW6Ur3vNOWhS2zM;36Hwcla06Q5BCr59CL0sBp;0l481RtogQ2BHsSecANMed;0CAJdthKDdRjB2h8YOguN6;1f58xau99Rdn0hhcJTwRhz;4dIZBPtKfOvo8YuundgcwH;4XHQyvbrBsQaaBUW1VvmsL
OEVQITG1UM,fair,7l0DPehrQ3M9DOgzy7dRGH;6hPSal3ragmfUt1I5mKZjn;25xLTYoRZOv8OTsQdesMZ2;607TgBgbTvP8CTgIHN0R6q;3oq4ObferqWNZB11Awi8ON;2sXMYMpvGVJJBIwrzNf0Lr;3H25ywsvlV0ZT2XSpSU7wk;1Ue64EtnVyKDKnplvhz3Lg;3aDYo34VzVf2i8aJyJk0ca;2KXwJZv1pRQFQ95Kj60jBN;7AbxF7ZIGbF3qyPc69yove;55393H9JXqdX1gTo0N3G7H;1Woy8A8P76F5F5e3NILRxi;7eg9RsETLgMaYcobok7y8B;0GR2HhZteEmmcLf02bLXid;7HNue5iYLR89uZ2RjdGpdr;2cR9d1gAnOB2Uca5rUc21Y;523XDGMjH8Gbzc8V6ek5cl;7AM4Z1OOZ63eAZFMnNu2Uc;4Qt7LInzG4ruqcIrowldhg;1iMRTy7TGnRqUXDbvXQalU;0niyuXXf78n09z1OJ03F3G;0D0np8Odu1PNamKfajA6AX;2ZBz0xlDTXIDlngBvBhvcC;5gZEJ0sYazk0aOfheH11To
OEVQITG1UM,cp,55393H9JXqdX1gTo0N3G7H;6pNPthJtweLWioQeGtwJe5;3NGT0Td7H4Is1qrlDQJxma;5hlQ9yTpC4VkUbtwdKmN4m;0zkE78jc1kjLXrTYd9ZxpO;1RPhSs2lDYKjDsELKtPvQd;4dbZObCjUs95HtmEHfKbnU;6dK1HEHZcQlh24bSU7pTaZ;34MRi5GRWHFUa731JBxFEl;2TgPHDU8zPgAvkSLXkHKXR;0q2vG0UVuy6ajjcpkQHdZM;3guazByz82uD2zHf8q7As1;5jaVyz2GDdesyu01cBbOSc;7l0DPehrQ3M9DOgzy7dRGH;2E2ZVy2fxslpAUgbb4zu84;25xLTYoRZOv8OTsQdesMZ2;607TgBgbTvP8CTgIHN0R6q;3oq4ObferqWNZB11Awi8ON;2LjiPAQOVazT8sRyXL3XRs;2sXMYMpvGVJJBIwrzNf0Lr;3H25ywsvlV0ZT2XSpSU7wk;26PwuMotZqcczKLHi4Htz3;1Ue64EtnVyKDKnplvhz3Lg;3aDYo34VzVf2i8aJyJk0ca;27mgDrExPa3obPAYXd3yQg
