user_id,condition,uris
P0V21X6PEW,base,2VEsmoek0sol9MnJFyoG9e;6RjW45KHJ6kgI2xQ1aFa52;70khXICDeTTxgYtw3EysKH;049V1aSofNvW906vGZgFsD;0fonaf88IEDQM309zmU80L;4MV4wa3Dke1GMBtk06GMR0;543bCW2ruMPmxUBWirQ3MR;4It00tEYLwpjQtAhqnjCPC;6CTWathupIiDs7U4InHnDA;3WxmlTZ85sCYFnuIXmUAEe;4T652DlATVHe0jdLKaN3Bw;7Fa5UNizycSms5jP3SQD3F;3RSpK5Y0y5tl25qvssrwJ6;0yz2J4wsXFCjMjpJ6A74yV;2IRrmMVmjvWQjJGY8LNuk5;1FSfCzJd8aSQ0nqTSbN4PO;4ak7xjvBeBOcJGWFDX9w5n;4PpuH4mxL0rD35mOWaLoKS;4F1yvJfQ7gJkrcgFJQDjOr;4mLkiFppf8Xvem6BSY34qw;3L4GsGLgxpHieVQH86H8bv;4v5kAh2wWyCSuKuhMJK8u6;3WefHNGtjexZvi66ZEx9u4;42qh86p7TLXyumxSHn65kc;12Fkyg9lpmaz2zmKOfw2Y2
P0V21X6PEW,fair,110AMH5GQUMgQhUHNODxBy;2VEsmoek0sol9MnJFyoG9e;4J2zCmydGtDFWmmAiNzImh;4GDhJN2w2fLMovXBvjWywV;7LdMXgWzLthvxJOngkynaB;56urRCfhQX5H3tfGt6q3uU;2i4WKnGYntsN4jEvDjkKBE;2cWC0R1ShnLaJEYRMAD8dj;7GlZhPkCA259c3ICFU0eaG;3NhEEC4oE5hX6u8RCx6Q9m;0b7Jv9sLr3NwuugoUkY13S;6RjW45KHJ6kgI2xQ1aFa52;1mklEaSnZ6Vl4cHZ6AnnNC;4xenimfryxFjQCxlvjAxaq;3hsmbFKT5Cujb5GQjqEU39;4IdAIZRVkwuQQnHpi529cn;77lHSh6eoMiKWRxczAPQ1k;2qhId6ko1ug9A0mw8BQJs8;1FlAMUpKrjY4NdaqsXjl1w;4W5hsFM6d64KMYtRawfgIS;1wDacf69FcQgyUCCN2UudC;6kbs6lHYzEyjhi7Dss2yVL;3aQGknD9CVAtpQFh6Qtalq;4GAFlFLouTialsJv1kiKaC;6D4zVAd90TxqYS3dpHDXBR
P0V21X6PEW,cp,6RjW45KHJ6kgI2xQ1aFa52;70khXICDeTTxgYtw3EysKH;049V1aSofNvW906vGZgFsD;110AMH5GQUMgQhUHNODxBy;1uigwk5hNV84zRd5YQQRTk;4J2zCmydGtDFWmmAiNzImh;2VEsmoek0sol9MnJFyoG9e;0fonaf88IEDQM309zmU80L;4GDhJN2w2fLMovXBvjWywV;4MV4wa3Dke1GMBtk06GMR0;543bCW2ruMPmxUBWirQ3MR;7LdMXgWzLthvxJOngkynaB;4It00tEYLwpjQtAhqnjCPC;6CTWathupIiDs7U4InHnDA;56urRCfhQX5H3tfGt6q3uU;3WxmlTZ85sCYFnuIXmUAEe;31er9IGsfFbwqy1pH4aiTP;4T652DlATVHe0jdLKaN3Bw;7Fa5UNizycSms5jP3SQD3F;2i4WKnGYntsN4jEvDjkKBE;3RSpK5Y0y5tl25qvssrwJ6;0yz2J4wsXFCjMjpJ6A74yV;2IRrmMVmjvWQjJGY8LNuk5;2cWC0R1ShnLaJEYRMAD8dj;1FSfCzJd8aSQ0nqTSbN4PO
