user_id,condition,uris
WVNSDGJT5R,base,6w8pFOKn42O418qwcQElZ3;6J6RWKCPN5RFKHUKEUFjxS;65awclibIvEl9N5kSANFii;3ogtSrlbtiTamktbA0hw0E;43E5SSPbZBLQlm2xySUlmp;4YOJFyjqh8eAcbKFfv88mV;3qzcM6SmbzBnGXSJe6hYdy;5V7LfzpeifeY4dA4eZLRit;34E0Higz6fFVXlbVsn6TIW;3yb2hJ1kKDEhLo3qfw7zlr;6LDasBOWaNQEGgpDLaKDnJ;2FHdoPa5aWaAmjuf362KJ0;1Ri9P0ZPrqr6h0REDRdJBd;03MVMUFmiv89xXMi4sXtfj;7z38bideBRvGAgjXe2SECm;2Za1AlJNvksouPPWbXpR2X;5HOpkTTVcmZHnthgyxrIL8;0BBOLOV5JntPL3341swIre;7p9dd71JR2ucoAuO1Sy0VZ;1LhFadk0aWYczltTjIbFlI;5r757MKjSoampJi977D1QO;1dl3vuXJS9anUXE7XnNP75;0YoUczWJPqphLvxnTXG00N;3i9UVldZOE0aD0JnyfAZZ0;3OEer2dQj1eWhSqxatGiru
WVNSDGJT5R,fair,1EjmPUwTvR5UMQ3bPaIVg0;6w8pFOKn42O418qwcQElZ3;0qxk0S8VB9eJCEEdLdBTqK;0gzErVl20ICsw6LmoPIdqb;1nJvSAI40zFSXhVFN3NkHd;2BzdkiamnFVJPiR6N5YJ4d;4j5WelE5mkf9A2jmts729h;1Woy8A8P76F5F5e3NILRxi;0XMeekgnEZDoieio8IysUS;3jCMdvc8bFOKChETbFV9Zc;6HxFJbQahRd5rWQ752D710;6J6RWKCPN5RFKHUKEUFjxS;6D4pnx2gmdRnbL8sY8B8b6;4NzenFNqsYRvrG7rLdF1Ej;2eZMdfWiIMcb12Sgs9v9p5;0755vnFQZLSgHHWbR1qCjY;46aXcs2gSheBtZibRfwRzh;3AwadkCfDI8pzxUDNlynFm;2cR9d1gAnOB2Uca5rUc21Y;1kkbUvmqZiNmWCR9TLd4tO;4cvSouV2JECZmhQkrBH8DZ;1QW6W7am0c2hdSz6Usudo6;2e58TfTLg04LEG1oyVipCp;29LHe8kG3PraghUZOZYsw4;5Gk0ZZ9b887U85L69rz6tu
WVNSDGJT5R,cp,6J6RWKCPN5RFKHUKEUFjxS;65awclibIvEl9N5kSANFii;3ogtSrlbtiTamktbA0hw0E;43E5SSPbZBLQlm2xySUlmp;4YOJFyjqh8eAcbKFfv88mV;3qzcM6SmbzBnGXSJe6hYdy;5V7LfzpeifeY4dA4eZLRit;34E0Higz6fFVXlbVsn6TIW;1EjmPUwTvR5UMQ3bPaIVg0;03MVMUFmiv89xXMi4sXtfj;0qxk0S8VB9eJCEEdLdBTqK;25U7raB3ZSszayTYClh4hF;0gzErVl20ICsw6LmoPIdqb;1nJvSAI40zFSXhVFN3NkHd;1uigwk5hNV84zRd5YQQRTk;6w8pFOKn42O418qwcQElZ3;2BzdkiamnFVJPiR6N5YJ4d;3yb2hJ1kKDEhLo3qfw7zlr;3TlIt0ReIxPsVZcOEivT5U;6LDasBOWaNQEGgpDLaKDnJ;4j5WelE5mkf9A2jmts729h;2FHdoPa5aWaAmjuf362KJ0;1Ri9P0ZPrqr6h0REDRdJBd;4hjfOnzzrrrDAGt286htU6;7z38bideBRvGAgjXe2SECm
