user_id,condition,uris
GO0FBQPQ37,base,7hpFYWL3cw5m4y70cce7Zb;3CMlAaKO8Z1MUsmk5ngUtN;6RFxg84B3wA2zUs9RrVOTZ;1RNtm45kw0hPMBz7gKiIYu;0U3u0HdRQjD8mAMYBak4Ok;1LhFadk0aWYczltTjIbFlI;1hKgvA62mHdsBQhMOYcoG2;1ZHYoYfWMYnGAzlwOi2XP4;2cHGWytemKJuckq2oLnAbZ;4llK75pXNWZz6KAho2Gp16;4G0oTxAqWyKo59oLjiuIzk;6sbXGUn9V9ZaLwLdOfpKRE;1JSkbxhF7tLSC7br7ZSlnX;34E0Higz6fFVXlbVsn6TIW;1mItgKNZhABGsy7hRHHkIR;7eyNpJhRRm3q8uHLkrFzmQ;1s2oewEkFG9eF9Mq7MyvCV;5ylLypaOksxWd75YrGtx2N;2Ld2LehpgQNREMxl9LlIzm;3rbVv0XOyXcI27mMaJqz4F;47Bg6IrMed1GPbxRgwH2aC;3tFlrvLwwAlwyIlVDTDAIU;7Jh9XDqXe3yvxovXsLYOO2;25TUTJnSXdKPR35canS9Vv;3GTXok0dIm0mMqBiVklBYS
GO0FBQPQ37,fair,0SBariQWfKjoslW2XSIFOm;7hpFYWL3cw5m4y70cce7Zb;70QqoQ3krRFUHfEzit7vjT;5h68UTytwmTJDwoGbqLwzV;6UhIild4zl9VgXw3rXTZBy;2CCy0wnJTtUIMoHpmGRcwM;2yTjzLPyPgLSfBGHgwCRr6;3CMlAaKO8Z1MUsmk5ngUtN;6RFxg84B3wA2zUs9RrVOTZ;1RNtm45kw0hPMBz7gKiIYu;0U3u0HdRQjD8mAMYBak4Ok;1LhFadk0aWYczltTjIbFlI;1hKgvA62mHdsBQhMOYcoG2;1ZHYoYfWMYnGAzlwOi2XP4;2cHGWytemKJuckq2oLnAbZ;4llK75pXNWZz6KAho2Gp16;4G0oTxAqWyKo59oLjiuIzk;6sbXGUn9V9ZaLwLdOfpKRE;1JSkbxhF7tLSC7br7ZSlnX;34E0Higz6fFVXlbVsn6TIW;1mItgKNZhABGsy7hRHHkIR;7eyNpJhRRm3q8uHLkrFzmQ;1s2oewEkFG9eF9Mq7MyvCV;5ylLypaOksxWd75YrGtx2N;2Ld2LehpgQNREMxl9LlIzm
GO0FBQPQ37,cp,3CMlAaKO8Z1MUsmk5ngUtN;6RFxg84B3wA2zUs9RrVOTZ;1RNtm45kw0hPMBz7gKiIYu;0U3u0HdRQjD8mAMYBak4Ok;1LhFadk0aWYczltTjIbFlI;1hKgvA62mHdsBQhMOYcoG2;1ZHYoYfWMYnGAzlwOi2XP4;4llK75pXNWZz6KAho2Gp16;2cHGWytemKJuckq2oLnAbZ;0SBariQWfKjoslW2XSIFOm;4G0oTxAqWyKo59oLjiuIzk;6sbXGUn9V9ZaLwLdOfpKRE;70QqoQ3krRFUHfEzit7vjT;1mItgKNZhABGsy7hRHHkIR;7hpFYWL3cw5m4y70cce7Zb;7Jh9XDqXe3yvxovXsLYOO2;1JSkbxhF7tLSC7br7ZSlnX;5h68UTytwmTJDwoGbqLwzV;5OQGeJ1ceykovrykZsGhqL;34E0Higz6fFVXlbVsn6TIW;7eyNpJhRRm3q8uHLkrFzmQ;6dwkFmLUz6hx2CZG2EqLol;1s2oewEkFG9eF9Mq7MyvCV;5ylLypaOksxWd75YrGtx2N;2R3wzFFjNYc1z3PSoO8FNV
