user_id,condition,uris
C0MO9CFU9G,base,2NCYYlzzRKyX24hyyKPMeW;4KoecuyOpZaNFZ0UqVsllc;4YOJFyjqh8eAcbKFfv88mV;1LhFadk0aWYczltTjIbFlI;4kSKacywUJHdhyst4PL6pl;7vL54Ke5fNvWGD5BicNSMG;16MJqq0vEuW6GRX6faetTm;6vkkluJq72ahHSZNe3ZAiL;6w8pFOKn42O418qwcQElZ3;1TmNN5Uw0GUbVTQsqJHzwj;2Za1AlJNvksouPPWbXpR2X;3i9UVldZOE0aD0JnyfAZZ0;6mH3qVIeOsnQIAho5eWwhH;5B0ibk0qk9ees6wvlzMsZe;7em38Hh2sKwnZ1HDgxvg82;19nAFg6Mb6jXN3yxPC2sSk;2lYsCjTvXIHOqT8xSbK2jq;6erBowZaW6Ur3vNOWhS2zM;2Cd9iWfcOpGDHLz6tVA3G4;3qzcM6SmbzBnGXSJe6hYdy;5KVPav34JaKkXwBTJHnPgo;6QoxM9xgqazNPGF026CjpS;0xbM5xfXMOGhBfkscG9Vam;5Z5dYF7PNmRB100RJPFdcs;3V2pTc1zYbZGzHlyd3YtlH
C0MO9CFU9G,fair,6NsNOf1RBVErTqrHEFYjQ4;2NCYYlzzRKyX24hyyKPMeW;06iPanlffI55gdHaCKK2zF;4cvSouV2JECZmhQkrBH8DZ;6UR0WjQTWLgyVWxAaXfrH5;4j5WelE5mkf9A2jmts729h;6HxFJbQahRd5rWQ752D710;7dfWGm8f6joB6tLnZN2avh;3jCMdvc8bFOKChETbFV9Zc;51tLltkWgu2hYHdadujP7S;0xVkF3kBstYDvXstkT2Jgn;4KoecuyOpZaNFZ0UqVsllc;7rdYM5pMYWy9IpWk3C4bwn;2Rm4qrfr9t21HxwaFn0aJ3;2rsrpJcJAT3EDth2x5vtzG;1Sao6YuJ4c133gemipn2lg;6KFYhoNEXNGQ3w3xuhu5G2;1IBLAoAUzkqacEU9AFJ1SE;4Y2yIyaoo0q7cM4OfVc9e2;0or0emkJgJYUK1t7VLGngP;0YiWQeLMT6Dz4dAyHE9AzP;0pi5i3VVkuYOup9wlQmEg3;0DjjsGPBMqWQCfImCCIMIb;0NI1qRlQr49laU3io14jwg;2u8AXJyk8pICzj2wyPBL0b
C0MO9CFU9G,cp,4KoecuyOpZaNFZ0UqVsllc;4YOJFyjqh8eAcbKFfv88mV;1LhFadk0aWYczltTjIbFlI;4kSKacywUJHdhyst4PL6pl;7vL54Ke5fNvWGD5BicNSMG;6NsNOf1RBVErTqrHEFYjQ4;3YVPpVJvJG2EauXurPA90F;06iPanlffI55gdHaCKK2zF;4cvSouV2JECZmhQkrBH8DZ;6UR0WjQTWLgyVWxAaXfrH5;2NCYYlzzRKyX24hyyKPMeW;4j5WelE5mkf9A2jmts729h;16MJqq0vEuW6GRX6faetTm;6vkkluJq72ahHSZNe3ZAiL;6sbXGUn9V9ZaLwLdOfpKRE;6HxFJbQahRd5rWQ752D710;6w8pFOKn42O418qwcQElZ3;1TmNN5Uw0GUbVTQsqJHzwj;7dfWGm8f6joB6tLnZN2avh;2Za1AlJNvksouPPWbXpR2X;3i9UVldZOE0aD0JnyfAZZ0;6mH3qVIeOsnQIAho5eWwhH;3jCMdvc8bFOKChETbFV9Zc;5B0ibk0qk9ees6wvlzMsZe;03MVMUFmiv89xXMi4sXtfj
