user_id,condition,uris
ZDTPZMDCUB,base,7p7udRRU9gjIarwcMQr5JC;1Fxp4LBWsNC58NwnGAXJld;6E5pe8Zb3Od3ToEBwRxHSt;2VGf3YQ6Zfzb6YyDatYAcY;6Rb0ptOEjBjPPQUlQtQGbL;1szqiUxttcIKxfKuZkvy50;4E5IFAXCob6QqZaJMTw5YN;5BeBfnubllFy69omQHNavT;0S5otf3yhH2NIozxJPJTeV;1cRuI7DN1z2FO3boRPmagR;282SWaZQxrWMtIbd09IZR4;00QyLmjxaSEE8qIZQjBXBj;21ugcKQyclYBZvzmCXsZ9x;1PAYgOjp1c9rrZ2kVQg2vN;4HyJ1VGNu3IszMV0sTsqKP;6gmMnYOfiYmj5xAFDrgkfF;5IHmCv6LwS3JxQYEV9rst9;60Qa4MfNC1dgVfuDF6rgMS;5lgS45xqkTk2HVm7Jph9ya;1TtteYFQeZfSU8AmfIAOvu;35Dofxo9smHVxmFQbhYIAT;0YU17F0BlVXvmx5ytsR43w;2RSUSq9143titBghWXdxT4;2xECSFHPgCyElhTVRaHVYP;0OOv1XGVVzUgTIzomIHfR0
ZDTPZMDCUB,fair,5LVj9daVd1q6fjICKyvl7Y;7p7udRRU9gjIarwcMQr5JC;2e58TfTLg04LEG1oyVipCp;5nwzfbcg8RPyZB72WwQBWA;2IWI6CljmId2EsuWsPBRgS;61KzdDjzvKmbj9JZlVnLwI;3VjJ2dFNC12hE8jK3yz5MA;4zTnEW54zezqmWyeGibRGV;0uKWu5AeSVSwcsp27vR9wd;0QTeJ2NViZy76Crcb6b8kz;4MCX3ENMxI2wNDihSUsNa3;1Fxp4LBWsNC58NwnGAXJld;5fYS4sBh2VCp0uAUI9oUVa;7Hv5o28j5LhcszeWKD5hLc;4ZWiwt6iGdCo31GTZrH39L;7r3reUtcKnpyRg62vzBlsa;1mIpyWeBDFgNLXLdZIKe90;7ssFG94tZHpX9vbIFM0GVH;25NhBQJPFmgTIPdu5lQkZ3;4Y2yIyaoo0q7cM4OfVc9e2;21yRkWUb2mgCoI5dLXj8RG;2QX9oNlhOZo9ZcqUrCxDWf;2Nu3kY3OBct3eSevD4ivA5;1Woy8A8P76F5F5e3NILRxi;4qX18Am6dJZg0ovgddL7w6
ZDTPZMDCUB,cp,1Fxp4LBWsNC58NwnGAXJld;6E5pe8Zb3Od3ToEBwRxHSt;5LVj9daVd1q6fjICKyvl7Y;6Rb0ptOEjBjPPQUlQtQGbL;2e58TfTLg04LEG1oyVipCp;7p7udRRU9gjIarwcMQr5JC;2VGf3YQ6Zfzb6YyDatYAcY;5nwzfbcg8RPyZB72WwQBWA;1szqiUxttcIKxfKuZkvy50;4E5IFAXCob6QqZaJMTw5YN;2IWI6CljmId2EsuWsPBRgS;5BeBfnubllFy69omQHNavT;1PAYgOjp1c9rrZ2kVQg2vN;0S5otf3yhH2NIozxJPJTeV;61KzdDjzvKmbj9JZlVnLwI;1cRuI7DN1z2FO3boRPmagR;282SWaZQxrWMtIbd09IZR4;3VjJ2dFNC12hE8jK3yz5MA;00QyLmjxaSEE8qIZQjBXBj;21ugcKQyclYBZvzmCXsZ9x;4HyJ1VGNu3IszMV0sTsqKP;4zTnEW54zezqmWyeGibRGV;5MWx5bkuRauFJenpG1w5wt;6gmMnYOfiYmj5xAFDrgkfF;5IHmCv6LwS3JxQYEV9rst9
