user_id,condition,uris
2KCJJZJ8TQ,base,56z2qI0gKcPthQF6l8AW3E;3x80T4dEFK7tDFzpxA6Dml;4x2rgtSFOI4hRvEvDj02KP;1Fxp4LBWsNC58NwnGAXJld;588RGyR1f4Plc8nm7SrdCa;2bjuuoly6CO7weZfdF95xY;3ogtSrlbtiTamktbA0hw0E;5OvU6eJL0GINFH0gY7G5J7;3mPTRYCiwMiOHifk67LaGn;0bJfgUyjfPJYqRgUxb12Eh;5ZwwlEZtTTvXHWsKcqtYlG;6Nq5lE0CeOAAAqN4qhkbZU;24CBAWq81pQNTftNAxVLYk;0QSQSRLBSYgB34WcEpicFP;37cp0jpho5cwFynoUd2sfI;2HWWNoWEEEECwZhAiLg7ib;7yO3mhpAt99n60tK9VkXLf;4KykoaJQ5UxjCpp3lYkvTE;6KV3QH5SX4DwXzx0JTOrqB;4ZOyH6KjomjlqCz3oFqglr;7rl7ao5pb9BhvAzPdWStxi;6brl7bwOHmGFkNw3MBqssT;1pKEXuXVJ9PCJj2BNrG4kX;44R3zk8n5b3g5fTEXCkwnW;1HFb7QC2E6wUDkte5mUfn5
2KCJJZJ8TQ,fair,7qcanNUZ2M1kfBPuzHHVgj;56z2qI0gKcPthQF6l8AW3E;4ZWiwt6iGdCo31GTZrH39L;3x80T4dEFK7tDFzpxA6Dml;4x2rgtSFOI4hRvEvDj02KP;1Fxp4LBWsNC58NwnGAXJld;588RGyR1f4Plc8nm7SrdCa;2bjuuoly6CO7weZfdF95xY;3ogtSrlbtiTamktbA0hw0E;5OvU6eJL0GINFH0gY7G5J7;3mPTRYCiwMiOHifk67LaGn;0bJfgUyjfPJYqRgUxb12Eh;5ZwwlEZtTTvXHWsKcqtYlG;6Nq5lE0CeOAAAqN4qhkbZU;24CBAWq81pQNTftNAxVLYk;0QSQSRLBSYgB34WcEpicFP;37cp0jpho5cwFynoUd2sfI;2HWWNoWEEEECwZhAiLg7ib;7yO3mhpAt99n60tK9VkXLf;4KykoaJQ5UxjCpp3lYkvTE;6KV3QH5SX4DwXzx0JTOrqB;4ZOyH6KjomjlqCz3oFqglr;7rl7ao5pb9BhvAzPdWStxi;6brl7bwOHmGFkNw3MBqssT;1pKEXuXVJ9PCJj2BNrG4kX
2KCJJZJ8TQ,cp,3x80T4dEFK7tDFzpxA6Dml;4x2rgtSFOI4hRvEvDj02KP;1Fxp4LBWsNC58NwnGAXJld;6brl7bwOHmGFkNw3MBqssT;7qcanNUZ2M1kfBPuzHHVgj;44R3zk8n5b3g5fTEXCkwnW;56z2qI0gKcPthQF6l8AW3E;588RGyR1f4Plc8nm7SrdCa;2xGTktpqW2FXOtcVBijqJ2;2bjuuoly6CO7weZfdF95xY;3ogtSrlbtiTamktbA0hw0E;49X0LAl6faAusYq02PRAY6;5OvU6eJL0GINFH0gY7G5J7;4ZWiwt6iGdCo31GTZrH39L;3mPTRYCiwMiOHifk67LaGn;74jTexO94dFGyXGyeu8krd;0bJfgUyjfPJYqRgUxb12Eh;5ZwwlEZtTTvXHWsKcqtYlG;46eHxWRKmtYhUHPDRgclt6;6Nq5lE0CeOAAAqN4qhkbZU;24CBAWq81pQNTftNAxVLYk;2XbfY2O2v3xwedUJ0J2kkr;0QSQSRLBSYgB34WcEpicFP;37cp0jpho5cwFynoUd2sfI;5NlFXQ0si6U87gXs6hq81B
