user_id,condition,uris
38X219FT3Y,base,4KoecuyOpZaNFZ0UqVsllc;1Taq7PrHRF7dLCcHTRh2aj;4XHQyvbrBsQaaBUW1VvmsL;7dZAPeA3Of5j5Vaef0DQ6M;69bHJ9qs5FrUJbKP8xU8uZ;0YEC3pNS0uIKvZb5u4lgsu;3sTN90bIP2cJ1783ctHykO;6CltzquypraYIlWFp48m1O;0Z26mbSHJ1dkUu7g9DDgif;1bb6bROP3OXMHcPw84MtmN;4OxXBAN51tjVBEjSwuWWbv;5hlQ9yTpC4VkUbtwdKmN4m;10Igtw8bSDyyFs7KIsKngZ;0q2vG0UVuy6ajjcpkQHdZM;3ZkUWF1MVm3tLgz7dplGpk;5Mmk2ii6laakqfeCT7OnVD;1RUTIdTnFs8lHSc0Zr4UJB;58QhkbaAkLFnn7JwAnAato;2Wd1jxXCTPhDCy2GMPC9fB;23tFXzIrL3esi2ECP8mprj;4Sw4lblE6aXpoOJma6Mlx5;6H503HrJOogVycvQkq2SuG;4bUfMNNmiCmPXVyWzIfKeZ;0kD586ste6xyDRqUYhVlCh;550JPXXPgjr1xqxtKIaX6b
38X219FT3Y,fair,4SzyebNrhvPJ8y4r1D1PXD;4KoecuyOpZaNFZ0UqVsllc;0gf2y5doKjsYaZJJZif4vz;4wFHz9UQtuXUgbhy7cn8qk;56urRCfhQX5H3tfGt6q3uU;7pQi9lwATNWDfNwtyMXUtm;1WI8MH3HPGjzpU0ywLahwt;0b7Jv9sLr3NwuugoUkY13S;0wSeTpuEBS5uloIJ9tGhFi;4YKTBWjMFJ22KSR0KTKSVT;3fVIFpU3VdSEoR82DaYe79;1Taq7PrHRF7dLCcHTRh2aj;7zn3MMeHjee0OZAtsLMDxN;3Tt9CEnGYd69ZrUGpiTe2Z;46IdjlVO3EmaMqooXZ1Hcu;4MzkYx6KAEKNb0V1eftx8H;672iSaub8854HyGX1DEwYF;595Sl1FDWMXRUktv5LO2gD;7L87B1YWTT11I0mSAEYEOF;3V0assD4Gg4BrXFzDrcWVj;4GIsskMpViPkt0uzPJTJSp;4R5bSS8yoCl2czeWLr61aO;6dt1vglokVwAR8XuVC9Gnd;7wTA0NKIm6T7nP2kaymU2a;2LdjytPhudo6BApaD5VYlC
38X219FT3Y,cp,1Taq7PrHRF7dLCcHTRh2aj;4XHQyvbrBsQaaBUW1VvmsL;7dZAPeA3Of5j5Vaef0DQ6M;69bHJ9qs5FrUJbKP8xU8uZ;0YEC3pNS0uIKvZb5u4lgsu;4SzyebNrhvPJ8y4r1D1PXD;1RUTIdTnFs8lHSc0Zr4UJB;0gf2y5doKjsYaZJJZif4vz;4wFHz9UQtuXUgbhy7cn8qk;2Wd1jxXCTPhDCy2GMPC9fB;4KoecuyOpZaNFZ0UqVsllc;3sTN90bIP2cJ1783ctHykO;56urRCfhQX5H3tfGt6q3uU;6CltzquypraYIlWFp48m1O;0Z26mbSHJ1dkUu7g9DDgif;23tFXzIrL3esi2ECP8mprj;1bb6bROP3OXMHcPw84MtmN;7pQi9lwATNWDfNwtyMXUtm;4OxXBAN51tjVBEjSwuWWbv;5hlQ9yTpC4VkUbtwdKmN4m;1WI8MH3HPGjzpU0ywLahwt;4NTWZqvfQTlOMitlVn6tew;10Igtw8bSDyyFs7KIsKngZ;0q2vG0UVuy6ajjcpkQHdZM;3ZkUWF1MVm3tLgz7dplGpk
