user_id,condition,uris
QIMDN29QS3,base,2sw8teIvVMRZKKYD5p795f;5SiZJoLXp3WOl3J4C8IK0d;7IwoJJ2bmzQULYOE89POMU;34d7sGX6WUqq8f04e7CSNF;7IFh9cfmoD6JPPcqzk4GbJ;1e6ZxoUlQsxZG6GS4MYeZ4;2Vy16OMt19FH30uQNTFdLk;7ccTcabbJlCJiIqtrSSwBk;6H503HrJOogVycvQkq2SuG;5TBJdXataXjsbjcXsCtUeP;0iMN420Q45isZVNlAqzPTW;1bY0n0E9SDqcShdJs18wzX;3BcEpBfEx2mOyCSJWIHSvu;3aUFrxO1B8EW63QchEl3wX;10W5hq8bU05pt2P9v6dDjP;2CWOMDYFK4Ef3867nEhnVM;2XTquzYQAdT1Hk78bOUwsv;2Bb1CWoDrXxFgp41CnJDhr;66s38Z7xubVergCcTx7dxs;6uXX9OgGchFrr2bq8RgIg6;6B3zy3LOKHndqsviCr2z15;4JtvyWkWQTPVcroZf8JJkp;232JdROTqhi1MRAUghFZdS;7wvwXi9Z66dcH5t202vVkN;584BzZR9hwnHJWFo00JUra
QIMDN29QS3,fair,0zvN9oq95bIEQjvfcdeZlX;2sw8teIvVMRZKKYD5p795f;1var4D32IC48LhuRBtCMkB;0FLmFMpgQKexnaDtj211Vq;6kg0pxi3EJNABjo8rRX60J;2HEACm14WJGvQZpQ2TKoqK;18iDXWHkXVyShHJV3GDR2V;4Bs3e4nbpa6bxNhuQfT6Ge;5V4Rffg8uzMndi2vLBxonF;47hAiP1eoRHkFJRUMqdeqr;4MzkYx6KAEKNb0V1eftx8H;5SiZJoLXp3WOl3J4C8IK0d;0AzOMwKZvLsWoV3ULCuBS3;6ebnvzZVSCVgTsRtByaTAu;2loF0DB5iBrQ46iHKeU0MQ;6YxEvuVzDk3RcJ7xojkdDq;7zfHCqwMcO9Y5pXjYDdkaJ;3eeTKQzdTZ0dHbeJ8obRun;4Jk6clW2UYpdJnwNYygcVd;1psC5iHzQxaTMZ5dWGfM6I;7Li6WUxRcnTuPQeFXIF1ml;1qHX3JQefKOvy64bIWEAhS;3v275M3Us9etGzH6fmvGmz;2w2jIxbLg70QADSrTErp1o;7A6kDAki7yD50HkFvjE6JP
QIMDN29QS3,cp,5SiZJoLXp3WOl3J4C8IK0d;0zvN9oq95bIEQjvfcdeZlX;1var4D32IC48LhuRBtCMkB;2sw8teIvVMRZKKYD5p795f;0FLmFMpgQKexnaDtj211Vq;7IwoJJ2bmzQULYOE89POMU;6kg0pxi3EJNABjo8rRX60J;34d7sGX6WUqq8f04e7CSNF;2HEACm14WJGvQZpQ2TKoqK;7IFh9cfmoD6JPPcqzk4GbJ;18iDXWHkXVyShHJV3GDR2V;1e6ZxoUlQsxZG6GS4MYeZ4;2Vy16OMt19FH30uQNTFdLk;4Bs3e4nbpa6bxNhuQfT6Ge;7ccTcabbJlCJiIqtrSSwBk;5V4Rffg8uzMndi2vLBxonF;6H503HrJOogVycvQkq2SuG;47hAiP1eoRHkFJRUMqdeqr;5TBJdXataXjsbjcXsCtUeP;0iMN420Q45isZVNlAqzPTW;4MzkYx6KAEKNb0V1eftx8H;1bY0n0E9SDqcShdJs18wzX;0AzOMwKZvLsWoV3ULCuBS3;3BcEpBfEx2mOyCSJWIHSvu;2zpQ30BpR6teeCeivQoo5p
