,user_id,condition,post_num,user_type,rec_mean_interactions,rec_median_interactions,rec_popularity_lift,rec_jensen_shannon,rec_head_ratio,rec_mid_ratio,rec_tail_ratio,prof_mean_interactions,prof_median_interactions,prof_num_interactions,prof_head_ratio,prof_mid_ratio,prof_tail_ratio,time_spent,choice_mean_interactions,choice_median_interactions,choice_popularity_lift,choice_jensen_shannon,choice_head_ratio,choice_mid_ratio,choice_tail_ratio,Q_MusicalSophistication,Q_MusicalEngagement,Q_Perceived_Popularity,Q_PerceivedFairness,Q_Discovery,Q_Familiarity,Q_PerceivedRecommendationQuality,Q_RecommendationSatisfaction,Q_ChoiceSatisfaction,Q_PerceivedSystemEffectiveness,Q_OpennessSimilarRecommendations,Q_UseIntention,Q_ChoiceListeningIntention
28,GALWQ910RA,fair,1,Niche,89.88,49.0,-0.7883058548617422,0.1900336043045067,0.0,0.08,0.92,424.5748031496063,63.0,1016,0.0738188976377952,0.4478346456692913,0.4783464566929133,438,278.0,55.0,-0.3452272769421932,0.04284380340034577,0.0,0.4,0.6,0.27777777777777773,-0.9999999999999999,-1.7999999999999998,-0.6666666666666666,0.6000000000000001,-1.6,-0.857142857142857,-1.4285714285714284,-0.625,-0.42857142857142855,0.0,-0.3333333333333333,0.5
29,GALWQ910RA,cp,2,Niche,514.92,252.0,0.2127898221472153,0.0045560246215591,0.08,0.52,0.4,424.5748031496063,63.0,1016,0.0738188976377952,0.4478346456692913,0.4783464566929133,238,570.8,899.0,0.3444038500769644,0.04743134978026983,0.0,0.6,0.4,0.27777777777777773,-0.9999999999999999,-1.2,-0.3333333333333333,0.2,-1.2000000000000002,-0.5714285714285714,-0.9999999999999998,-0.375,0.2857142857142857,0.6000000000000001,0.0,0.5
30,GO0FBQPQ37,fair,0,Diverse,725.6,729.0,-0.5126220236113248,0.0215058411360434,0.16,0.6,0.24,1488.782905982906,475.5,1170,0.3017094017094017,0.5230769230769231,0.1752136752136752,566,2515.0,729.0,0.6892993531112434,0.01150947224501367,0.4,0.4,0.2,-0.4444444444444444,-0.1111111111111111,-1.2000000000000002,1.0,-0.8,-0.2,0.0,-1.4285714285714284,1.25,0.5714285714285714,-0.2,0.6666666666666666,0.5
31,GO0FBQPQ37,base,1,Diverse,963.08,913.0,-0.3531091765429915,0.1161555373187913,0.2,0.8,0.0,1488.782905982906,475.5,1170,0.3017094017094017,0.5230769230769231,0.1752136752136752,398,2810.6,1393.0,0.8878507999421313,0.09449056233600533,0.4,0.6,0.0,-0.4444444444444444,-0.1111111111111111,-1.2000000000000002,0.6666666666666666,-0.8,0.2,0.2857142857142857,-0.5714285714285714,0.875,0.14285714285714285,0.6000000000000001,-0.3333333333333333,1.5
32,GO0FBQPQ37,cp,2,Diverse,965.52,950.0,-0.351470253910152,0.0043947448122428,0.32,0.56,0.12,1488.782905982906,475.5,1170,0.3017094017094017,0.5230769230769231,0.1752136752136752,729,2763.0,1969.0,0.855878374809688,0.09081235791125368,0.6,0.2,0.2,-0.4444444444444444,-0.1111111111111111,-1.4,1.0,0.0,0.2,0.5714285714285714,-0.14285714285714285,0.875,0.14285714285714285,0.8,0.0,1.5
33,4JN9C5HJU4,fair,0,Diverse,123.56,47.0,-0.8355159095448887,0.2425918175761633,0.0,0.08,0.92,751.1972717733473,100.0,953,0.1521511017838405,0.4323189926547744,0.4155299055613851,366,341.0,47.0,-0.5460579892749036,0.08868128213823492,0.0,0.4,0.6,-0.8333333333333333,-0.7777777777777777,-1.2000000000000002,1.3333333333333333,1.2000000000000002,-0.4,0.9999999999999999,0.9999999999999998,1.625,1.1428571428571428,1.2,1.0,1.5
34,4JN9C5HJU4,base,1,Diverse,539.0,417.0,-0.2824787572409766,0.3069044051691322,0.04,0.96,0.0,751.1972717733473,100.0,953,0.1521511017838405,0.4323189926547744,0.4155299055613851,159,688.0,784.0,-0.08412872909423362,0.36725979761030536,0.0,1.0,0.0,-0.8333333333333333,-0.7777777777777777,1.2000000000000002,1.0,-0.2,2.2,2.2857142857142856,1.4285714285714284,2.0,0.9999999999999998,1.6,1.0,2.0
35,4JN9C5HJU4,cp,2,Diverse,599.8,236.0,-0.2015412960911647,0.0024056858478315,0.16,0.48,0.36,751.1972717733473,100.0,953,0.1521511017838405,0.4323189926547744,0.4155299055613851,137,660.2,417.0,-0.12113631823839098,0.0029116063654518326,0.2,0.4,0.4,-0.8333333333333333,-0.7777777777777777,0.6000000000000001,1.0,1.2,1.0,1.5714285714285714,1.1428571428571428,1.5,0.8571428571428571,2.0,2.0,2.5
36,606AAQAJU6,fair,0,Diverse,144.04,48.0,-0.8415667608416862,0.2603897857777987,0.0,0.08,0.92,909.1526548672566,105.0,1356,0.1674041297935103,0.4387905604719764,0.3938053097345133,327,537.8,43.0,-0.40846017759413245,0.09989192407731373,0.0,0.4,0.6,-0.8333333333333333,-1.1111111111111112,0.2,0.3333333333333333,1.0,0.2,0.9999999999999999,-0.2857142857142857,0.75,1.1428571428571428,1.0,0.6666666666666666,2.0
37,606AAQAJU6,cp,1,Diverse,826.76,971.0,-0.0906257650199422,0.0104943315353676,0.2,0.52,0.28,909.1526548672566,105.0,1356,0.1674041297935103,0.4387905604719764,0.3938053097345133,450,992.2,1191.0,0.09134587540182566,0.05930853547765394,0.4,0.4,0.2,-0.8333333333333333,-1.1111111111111112,1.0,0.3333333333333333,1.0,1.0,0.857142857142857,0.14285714285714285,0.625,1.1428571428571428,2.0,1.0,1.0
